"","X","Table.1","ANZSOC.Division","month","year","ANZSOC.Group","ANZSOC.Subdivision","Area.Unit","Location.Type","Locn.Type.Division","Occurrence.Day.Of.Week","Occurrence.Hour.Of.Day","Territorial.Authority","Weapon","Number.of.Records","Victimisations"
"1204",1204,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Serious Assault Not Resulting in Injury","Assault","New Windsor.",".","Unspecified Location","Monday",99,"Auckland.","Not Stated",1,1
"1205",1205,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Serious Assault Not Resulting in Injury","Assault","Tauranga Hospital.",".","Unspecified Location","Monday",99,"Tauranga City.","Not Stated",1,1
"1206",1206,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Serious Assault Resulting in Injury","Assault","Massey Park.",".","Unspecified Location","Monday",7,"Auckland.","None",1,1
"1207",1207,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Common Assault","Assault","Palmerston North Central.",".","Unspecified Location","Saturday",2,"Palmerston North City.","Not Stated",1,1
"1208",1208,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Common Assault","Assault","Caversham.",".","Unspecified Location","Saturday",99,"Dunedin City.","Not Stated",1,1
"1209",1209,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Serious Assault Not Resulting in Injury","Assault","Waimataitai.",".","Unspecified Location","Saturday",14,"Timaru District.","Not Stated",1,1
"1210",1210,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Serious Assault Not Resulting in Injury","Assault","Trident.",".","Unspecified Location","Saturday",23,"Whakatane District.","Not Stated",1,1
"1211",1211,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Serious Assault Resulting in Injury","Assault","Williams Domain.",".","Unspecified Location","Saturday",21,"Wanganui District.","Not Stated",1,1
"1212",1212,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Common Assault","Assault","Fernhill.",".","Unspecified Location","Sunday",1,"Dunedin City.","Firearm N.F.D.",1,1
"1213",1213,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Common Assault","Assault","Bronte.",".","Unspecified Location","Sunday",2,"Nelson City.","Not Stated",1,1
"1214",1214,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Common Assault","Assault","New Brighton.",".","Unspecified Location","Sunday",14,"Christchurch City.","Not Stated",1,1
"1215",1215,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Common Assault","Assault","Clarkin.",".","Unspecified Location","Sunday",23,"Hamilton City.","Not Stated",1,1
"1216",1216,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Serious Assault Not Resulting in Injury","Assault","Lichfield.",".","Unspecified Location","Sunday",0,"South Waikato District.","Not Stated",1,1
"1217",1217,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Serious Assault Not Resulting in Injury","Assault","Pukekohe North.",".","Unspecified Location","Sunday",12,"Auckland.","Not Stated",1,1
"1218",1218,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Serious Assault Not Resulting in Injury","Assault","Isel Park.",".","Unspecified Location","Sunday",15,"Nelson City.","Not Stated",1,1
"1219",1219,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Serious Assault Not Resulting in Injury","Assault","Taupo Central.",".","Unspecified Location","Sunday",99,"Taupo District.","Not Stated",1,1
"1220",1220,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Common Assault","Assault","St Albans East.",".","Unspecified Location","Thursday",12,"Christchurch City.","Not Stated",1,1
"1221",1221,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Common Assault","Assault","Thorndon-Tinakori Road.",".","Unspecified Location","Thursday",15,"Wellington City.","Not Stated",1,1
"1222",1222,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Common Assault","Assault","Papatoetoe Central.",".","Unspecified Location","Thursday",22,"Auckland.","Not Stated",1,1
"1223",1223,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Serious Assault Not Resulting in Injury","Assault","999999",".","Unspecified Location","Thursday",19,"Clutha District.","Firearm N.F.D.",1,1
"1224",1224,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Serious Assault Not Resulting in Injury","Assault","Shirley East.",".","Unspecified Location","Thursday",16,"Christchurch City.","Not Stated",1,1
"1225",1225,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Serious Assault Not Resulting in Injury","Assault","Pacific View.",".","Unspecified Location","Thursday",99,"Tauranga City.","Not Stated",1,1
"1226",1226,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Serious Assault Resulting in Injury","Assault","Wallaceville.",".","Unspecified Location","Thursday",19,"Upper Hutt City.","None",1,1
"1227",1227,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Common Assault","Assault","Tauranga Hospital.",".","Unspecified Location","Tuesday",15,"Tauranga City.","Not Stated",1,1
"1228",1228,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Common Assault","Assault","Clendon South.",".","Unspecified Location","Tuesday",99,"Auckland.","Not Stated",1,1
"1229",1229,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Common Assault","Assault","Wanaka.",".","Unspecified Location","Tuesday",99,"Queenstown-Lakes District.","Not Stated",1,1
"1230",1230,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Serious Assault Not Resulting in Injury","Assault","Linwood.",".","Unspecified Location","Tuesday",9,"Christchurch City.","Not Stated",1,1
"1231",1231,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Serious Assault Not Resulting in Injury","Assault","Turua.",".","Unspecified Location","Tuesday",18,"Hauraki District.","Not Stated",1,1
"1232",1232,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Serious Assault Not Resulting in Injury","Assault","Arataki.",".","Unspecified Location","Tuesday",99,"Tauranga City.","Not Stated",1,1
"1233",1233,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Serious Assault Resulting in Injury","Assault","Ranui Domain.",".","Unspecified Location","Tuesday",0,"Auckland.","Other Weapon",1,1
"1234",1234,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Common Assault","Assault","Cathedral Square.",".","Unspecified Location","UNKNOWN",99,"Christchurch City.","None",1,1
"1235",1235,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Common Assault","Assault","Hornby South.",".","Unspecified Location","UNKNOWN",99,"Christchurch City.","Not Stated",1,1
"1236",1236,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Common Assault","Assault","Shirley East.",".","Unspecified Location","UNKNOWN",99,"Christchurch City.","Not Stated",1,1
"1237",1237,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Common Assault","Assault","Porirua Central.",".","Unspecified Location","UNKNOWN",99,"Porirua City.","Not Stated",1,1
"1238",1238,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Common Assault","Assault","Gonville South.",".","Unspecified Location","UNKNOWN",99,"Wanganui District.","Not Stated",1,1
"1239",1239,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Serious Assault Not Resulting in Injury","Assault","Clendon South.",".","Unspecified Location","UNKNOWN",99,"Auckland.","Not Stated",1,1
"1240",1240,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Serious Assault Not Resulting in Injury","Assault","Avon Loop.",".","Unspecified Location","UNKNOWN",99,"Christchurch City.","Not Stated",1,1
"1241",1241,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Serious Assault Not Resulting in Injury","Assault","Phillipstown.",".","Unspecified Location","UNKNOWN",99,"Christchurch City.","Not Stated",1,1
"1242",1242,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Serious Assault Not Resulting in Injury","Assault","Nawton.",".","Unspecified Location","UNKNOWN",99,"Hamilton City.","Not Stated",1,1
"1243",1243,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Serious Assault Not Resulting in Injury","Assault","Avalon West.",".","Unspecified Location","UNKNOWN",99,"Lower Hutt City.","Not Stated",1,1
"1244",1244,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Serious Assault Not Resulting in Injury","Assault","Onekawa Central.",".","Unspecified Location","UNKNOWN",99,"Napier City.","Not Stated",1,1
"1245",1245,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Serious Assault Not Resulting in Injury","Assault","Highbury.",".","Unspecified Location","UNKNOWN",99,"Palmerston North City.","Not Stated",1,1
"1246",1246,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Serious Assault Not Resulting in Injury","Assault","Opunake.",".","Unspecified Location","UNKNOWN",99,"South Taranaki District.","Not Stated",1,1
"1247",1247,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Serious Assault Not Resulting in Injury","Assault","Taupiri Community.",".","Unspecified Location","UNKNOWN",99,"Waikato District.","Not Stated",1,1
"1248",1248,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Serious Assault Resulting in Injury","Assault","Wiri.",".","Unspecified Location","UNKNOWN",99,"Auckland.","Not Stated",1,1
"1249",1249,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Common Assault","Assault","Hamilton East.",".","Unspecified Location","Wednesday",3,"Hamilton City.","Not Stated",1,1
"1250",1250,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Common Assault","Assault","Henderson South.",".","Unspecified Location","Wednesday",20,"Auckland.","Not Stated",1,1
"1251",1251,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Serious Assault Not Resulting in Injury","Assault","Mangere Bridge.",".","Unspecified Location","Wednesday",17,"Auckland.","Not Stated",1,1
"1252",1252,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Serious Assault Not Resulting in Injury","Assault","Fairview Downs.",".","Unspecified Location","Wednesday",99,"Hamilton City.","Not Stated",1,1
"1253",1253,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Mar","20","Serious Assault Resulting in Injury","Assault","Papakura Central.",".","Unspecified Location","Wednesday",20,"Auckland.","Not Stated",1,1
"1254",1254,"1 Victimisation Time and Place","Sexual Assault and Related Offences","Mar","20","Aggravated Sexual Assault","Sexual Assault","999999",".","Unspecified Location","Friday",12,"New Plymouth District.","Not Stated",1,1
"1255",1255,"1 Victimisation Time and Place","Sexual Assault and Related Offences","Mar","20","Aggravated Sexual Assault","Sexual Assault","Porirua Central.",".","Unspecified Location","Monday",19,"Porirua City.","Not Stated",1,1
"1256",1256,"1 Victimisation Time and Place","Sexual Assault and Related Offences","Mar","20","Aggravated Sexual Assault","Sexual Assault","999999",".","Unspecified Location","Saturday",12,"Queenstown-Lakes District.","Not Stated",1,1
"1257",1257,"1 Victimisation Time and Place","Sexual Assault and Related Offences","Mar","20","Aggravated Sexual Assault","Sexual Assault","Turangi.",".","Unspecified Location","Sunday",16,"Taupo District.","Not Stated",1,1
"1258",1258,"1 Victimisation Time and Place","Sexual Assault and Related Offences","Mar","20","Aggravated Sexual Assault","Sexual Assault","South Waiuku.",".","Unspecified Location","Thursday",9,"Auckland.","Not Stated",1,1
"1259",1259,"1 Victimisation Time and Place","Sexual Assault and Related Offences","Mar","20","Aggravated Sexual Assault","Sexual Assault","Parnell West.",".","Unspecified Location","Thursday",99,"Auckland.","Not Stated",1,1
"1260",1260,"1 Victimisation Time and Place","Sexual Assault and Related Offences","Mar","20","Aggravated Sexual Assault","Sexual Assault","Rolleston South West.",".","Unspecified Location","Tuesday",10,"Selwyn District.","Not Stated",1,1
"1261",1261,"1 Victimisation Time and Place","Sexual Assault and Related Offences","Mar","20","Aggravated Sexual Assault","Sexual Assault","Merivale.",".","Unspecified Location","Tuesday",99,"Christchurch City.","Not Stated",1,1
"1262",1262,"1 Victimisation Time and Place","Sexual Assault and Related Offences","Mar","20","Aggravated Sexual Assault","Sexual Assault","Orewa.",".","Unspecified Location","UNKNOWN",99,"Auckland.","Not Stated",1,1
"1263",1263,"1 Victimisation Time and Place","Sexual Assault and Related Offences","Mar","20","Aggravated Sexual Assault","Sexual Assault","Stuart St-Frederick St.",".","Unspecified Location","UNKNOWN",99,"Dunedin City.","Not Stated",1,1
"1264",1264,"1 Victimisation Time and Place","Sexual Assault and Related Offences","Mar","20","Aggravated Sexual Assault","Sexual Assault","999999",".","Unspecified Location","UNKNOWN",99,"Marlborough District.","Not Stated",1,1
"1265",1265,"1 Victimisation Time and Place","Sexual Assault and Related Offences","Mar","20","Aggravated Sexual Assault","Sexual Assault","Te Hapara.",".","Unspecified Location","Wednesday",8,"Gisborne District.","Not Stated",1,1
"1266",1266,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Cathedral Square.",".","Other Location","Friday",23,"Christchurch City.","Firearm N.F.D.",1,1
"1267",1267,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Wainui.",".","Other Location","Friday",8,"Gisborne District.","None",1,1
"1268",1268,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Tuakau.",".","Other Location","Friday",11,"Waikato District.","None",1,1
"1269",1269,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Waihi.",".","Other Location","Friday",15,"Hauraki District.","None",1,1
"1270",1270,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Blenheim Central.",".","Other Location","Friday",17,"Marlborough District.","None",1,2
"1271",1271,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Kingsland.",".","Other Location","Friday",22,"Auckland.","None",1,1
"1272",1272,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Onehunga South East.",".","Other Location","Friday",23,"Auckland.","None",1,1
"1273",1273,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Waiuku West.",".","Other Location","Friday",99,"Auckland.","None",1,1
"1274",1274,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Stonefields.",".","Other Location","Friday",15,"Auckland.","Not Stated",1,1
"1275",1275,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Not Resulting in Injury","Assault","Levin West.",".","Other Location","Friday",22,"Horowhenua District.","None",1,1
"1276",1276,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Resulting in Injury","Assault","Kingsland.",".","Other Location","Friday",22,"Auckland.","None",1,1
"1277",1277,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Resulting in Injury","Assault","Totara Park.",".","Other Location","Friday",1,"Upper Hutt City.","Not Stated",1,1
"1278",1278,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Camberley.",".","Other Location","Monday",9,"Hastings District.","None",1,1
"1279",1279,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Riccarton.",".","Other Location","Monday",15,"Christchurch City.","None",1,1
"1280",1280,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Titahi Bay South.",".","Other Location","Monday",17,"Porirua City.","None",1,1
"1281",1281,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Sawyers Arms.",".","Other Location","Monday",11,"Christchurch City.","Not Stated",1,1
"1282",1282,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Not Resulting in Injury","Assault","Adelaide.",".","Other Location","Monday",17,"Wellington City.","Not Stated",1,1
"1283",1283,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Resulting in Injury","Assault","Brookfield.",".","Other Location","Monday",12,"Tauranga City.","None",1,1
"1284",1284,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Kuirau.",".","Other Location","Saturday",0,"Rotorua District.","None",1,1
"1285",1285,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Newton.",".","Other Location","Saturday",2,"Auckland.","None",1,1
"1286",1286,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Mangere Central.",".","Other Location","Saturday",6,"Auckland.","None",1,1
"1287",1287,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Hastings Central.",".","Other Location","Saturday",11,"Hastings District.","None",1,1
"1288",1288,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Sandringham North.",".","Other Location","Saturday",15,"Auckland.","None",1,1
"1289",1289,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Hamilton Central.",".","Other Location","Saturday",17,"Hamilton City.","None",1,1
"1290",1290,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Westport Urban.",".","Other Location","Saturday",20,"Buller District.","None",1,2
"1291",1291,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Willis Street-Cambridge Terrace.",".","Other Location","Saturday",22,"Wellington City.","None",1,1
"1292",1292,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Palmerston North Central.",".","Other Location","Saturday",8,"Palmerston North City.","Not Stated",1,1
"1293",1293,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Kaikohe.",".","Other Location","Saturday",18,"Far North District.","Not Stated",1,1
"1294",1294,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Glen Innes West.",".","Other Location","Saturday",14,"Auckland.","Other Weapon",1,1
"1295",1295,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Not Resulting in Injury","Assault","Outer Kaiti.",".","Other Location","Saturday",18,"Gisborne District.","None",1,1
"1296",1296,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Not Resulting in Injury","Assault","Matua.",".","Other Location","Saturday",17,"Tauranga City.","Not Stated",1,1
"1297",1297,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Resulting in Injury","Assault","High St-Stuart St.",".","Other Location","Saturday",0,"Dunedin City.","None",1,1
"1298",1298,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Resulting in Injury","Assault","Whitianga.",".","Other Location","Saturday",9,"Thames-Coromandel District.","None",1,2
"1299",1299,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Resulting in Injury","Assault","Hamilton Central.",".","Other Location","Saturday",22,"Hamilton City.","None",1,1
"1300",1300,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Resulting in Injury","Assault","West End.",".","Other Location","Saturday",23,"Palmerston North City.","Not Stated",1,1
"1301",1301,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Regent.",".","Other Location","Sunday",1,"Whangarei District.","None",1,1
"1302",1302,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Kelston Central.",".","Other Location","Sunday",4,"Auckland.","None",1,1
"1303",1303,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Mt Eden North.",".","Other Location","Sunday",15,"Auckland.","None",1,1
"1304",1304,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Westgate.",".","Other Location","Sunday",16,"Auckland.","None",1,2
"1305",1305,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Hamilton Central.",".","Other Location","Sunday",99,"Hamilton City.","None",1,1
"1306",1306,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Willis Street-Cambridge Terrace.",".","Other Location","Sunday",18,"Wellington City.","Not Stated",1,1
"1307",1307,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Not Resulting in Injury","Assault","Taupo Central.",".","Other Location","Sunday",0,"Taupo District.","None",1,1
"1308",1308,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Resulting in Injury","Assault","Papaeoia.",".","Other Location","Sunday",3,"Palmerston North City.","None",1,1
"1309",1309,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Resulting in Injury","Assault","East Cape.",".","Other Location","Sunday",99,"Gisborne District.","Other Weapon",1,1
"1310",1310,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Auckland Central East.",".","Other Location","Thursday",1,"Auckland.","None",1,1
"1311",1311,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Manukau Central.",".","Other Location","Thursday",11,"Auckland.","None",1,1
"1312",1312,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Albany.",".","Other Location","Thursday",14,"Auckland.","None",1,1
"1313",1313,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Auckland Central East.",".","Other Location","Thursday",22,"Auckland.","None",1,1
"1314",1314,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Mangere Central.",".","Other Location","Thursday",9,"Auckland.","Other Weapon",1,1
"1315",1315,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Not Resulting in Injury","Assault","Penrose.",".","Other Location","Thursday",12,"Auckland.","Not Stated",1,1
"1316",1316,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Resulting in Injury","Assault","Mt Wellington South.",".","Other Location","Thursday",12,"Auckland.","None",1,1
"1317",1317,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Resulting in Injury","Assault","Wallaceville.",".","Other Location","Thursday",11,"Upper Hutt City.","Not Stated",1,1
"1318",1318,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Maraenui.",".","Other Location","Tuesday",10,"Napier City.","None",1,2
"1319",1319,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Puhinui South.",".","Other Location","Tuesday",16,"Auckland.","None",1,1
"1320",1320,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Springleigh.",".","Other Location","Tuesday",22,"Auckland.","None",1,1
"1321",1321,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Cathedral Square.",".","Other Location","Tuesday",18,"Christchurch City.","Not Stated",1,1
"1322",1322,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Manukau Central.",".","Other Location","Tuesday",99,"Auckland.","Not Stated",1,1
"1323",1323,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Not Resulting in Injury","Assault","Stuart St-Frederick St.",".","Other Location","Tuesday",16,"Dunedin City.","None",1,1
"1324",1324,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Not Resulting in Injury","Assault","Gisborne Central.",".","Other Location","Tuesday",17,"Gisborne District.","Not Stated",1,1
"1325",1325,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Resulting in Injury","Assault","Albany.",".","Other Location","Tuesday",15,"Auckland.","None",1,1
"1326",1326,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Rongomai.",".","Other Location","UNKNOWN",99,"Auckland.","None",1,1
"1327",1327,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Tirau.",".","Other Location","Wednesday",10,"South Waikato District.","None",1,1
"1328",1328,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Northcote.",".","Other Location","Wednesday",15,"Christchurch City.","None",1,1
"1329",1329,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Mamaku.",".","Other Location","Wednesday",17,"Rotorua District.","None",1,1
"1330",1330,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Merivale.",".","Other Location","Wednesday",99,"Christchurch City.","None",1,1
"1331",1331,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Not Resulting in Injury","Assault","Manukau Central.",".","Other Location","Wednesday",99,"Auckland.","Not Stated",1,1
"1332",1332,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Resulting in Injury","Assault","Highbrook.",".","Other Location","Wednesday",0,"Auckland.","Not Stated",1,1
"1333",1333,"1 Victimisation Time and Place","Sexual Assault and Related Offences","Jun","20","Aggravated Sexual Assault","Sexual Assault","Oaktree.",".","Other Location","Friday",18,"Auckland.","Not Stated",1,1
"1334",1334,"1 Victimisation Time and Place","Sexual Assault and Related Offences","Jun","20","Non-Aggravated Sexual Assault","Sexual Assault","Westgate.",".","Other Location","Monday",11,"Auckland.","Not Stated",1,1
"1335",1335,"1 Victimisation Time and Place","Sexual Assault and Related Offences","Jun","20","Aggravated Sexual Assault","Sexual Assault","Styx Mill.",".","Other Location","Sunday",16,"Christchurch City.","Not Stated",1,1
"1336",1336,"1 Victimisation Time and Place","Sexual Assault and Related Offences","Jun","20","Aggravated Sexual Assault","Sexual Assault","Willis Street-Cambridge Terrace.",".","Other Location","Thursday",21,"Wellington City.","Not Stated",1,1
"1337",1337,"1 Victimisation Time and Place","Sexual Assault and Related Offences","Jun","20","Aggravated Sexual Assault","Sexual Assault","St Lukes North.",".","Other Location","UNKNOWN",99,"Auckland.","Not Stated",1,1
"1338",1338,"1 Victimisation Time and Place","Sexual Assault and Related Offences","Jun","20","Aggravated Sexual Assault","Sexual Assault","Gate Pa.",".","Other Location","UNKNOWN",99,"Tauranga City.","Not Stated",1,1
"1339",1339,"1 Victimisation Time and Place","Sexual Assault and Related Offences","Jun","20","Non-Aggravated Sexual Assault","Sexual Assault","Tauranga Central.",".","Other Location","UNKNOWN",99,"Tauranga City.","Not Stated",1,1
"1340",1340,"1 Victimisation Time and Place","Sexual Assault and Related Offences","Jun","20","Aggravated Sexual Assault","Sexual Assault","999999",".","Other Location","Wednesday",14,"Kapiti Coast District.","Not Stated",1,1
"1341",1341,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Common Assault","Assault","St Johns.",".","Residential Location","Friday",8,"Auckland.","None",1,2
"1342",1342,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Common Assault","Assault","Homebush-Te Ore Ore.",".","Residential Location","Friday",10,"Masterton District.","None",1,1
"1343",1343,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Common Assault","Assault","Naenae North.",".","Residential Location","Friday",22,"Lower Hutt City.","None",1,2
"1344",1344,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Common Assault","Assault","Beachhaven North.",".","Residential Location","Friday",17,"Auckland.","Not Stated",1,1
"1345",1345,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Serious Assault Not Resulting in Injury","Assault","Totara Heights.",".","Residential Location","Friday",17,"Auckland.","Blunt Instrument N.F.D.",1,1
